ID,Restaurant,Type,Description,Date,Time,Subtotal,Service,Delivery,Tax,Tip,Restaurant Total,Commission,Processing Fee,Withheld Tax
O-385003192094428,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/28/18,3:11 PM,21.95,0,2,1.32,0,25.27,-2.99,-1.07,0
P-52567010,Oriental Express - Centreville Crest Ln,Phone Order,,1/20/18,5:00 PM,0,0,0,0,0,0,-3.27,0,0
O-767702951224955,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/3/18,8:59 PM,25.75,0,2,1.55,5.86,35.16,-3.47,-1.37,0
O-517702990798546,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/8/18,11:05 AM,15.95,0,2,0.96,0,18.91,-2.24,-0.88,0
O-932003218109643,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/30/18,6:28 PM,15.9,0,2,0.95,3.77,22.62,-2.24,-0.99,0
O-942703022266064,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/11/18,4:04 PM,38.8,0,2,2.33,6.47,49.6,-5.1,-1.81,0
O-394303126919456,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/21/18,5:50 PM,24.7,0,2,1.48,5.64,33.82,-3.34,-1.33,0
O-908103214966620,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/30/18,2:21 PM,25.95,0,2,1.56,4.43,33.94,-3.49,-1.34,0
O-385003222094610,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/31/18,5:38 PM,38.2,0,2,2.29,6.37,48.86,-5.03,-1.79,0
O-908103164983915,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/25/18,5:42 PM,19.9,0,2,1.19,4.62,27.71,-2.74,-1.15,0
O-306402974622909,Oriental Express - Centreville Crest Ln,,,1/6/18,6:58 PM,17.05,0,2,1.02,4.01,24.08,-2.38,-1.03,0
O-297503041581679,Oriental Express - Centreville Crest Ln,,,1/13/18,5:07 PM,36.7,0,2,2.2,8.18,49.08,-4.84,-1.8,0
O-942703062296517,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/14/18,7:57 PM,21.75,0,2,1.31,4.94,30,-2.97,-1.21,0
O-112902932867408,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/2/18,12:05 PM,31.95,0,2,1.92,3.59,39.46,-4.24,-1.5,0
O-394302996987802,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/8/18,1:50 PM,21.25,0,2,1.28,4.91,29.44,-2.91,-1.2,0
O-196503132681566,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/22/18,6:47 PM,18.5,0,2,1.11,3.39,25,-2.56,-1.06,0
O-306403074672488,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/16/18,3:14 PM,18.9,0,2,1.13,4.41,26.44,-2.61,-1.11,0
O-196402921185630,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/1/18,5:55 PM,24.95,0,2,1.5,4.27,32.72,-3.37,-1.3,0
O-200603088805715,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/17/18,4:02 PM,34.05,0,2,2.04,3.81,41.9,-4.51,-1.58,0
O-394302986983408,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/6/18,8:05 PM,41.1,0,2,2.47,9.11,54.68,-5.39,-1.97,0
O-942702952265622,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/4/18,5:01 PM,45.65,0,2,2.74,7.56,57.95,-5.96,-2.07,0
O-297503031585702,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/12/18,6:09 PM,22.95,0,0,1.38,0,24.33,-2.87,-1.04,0
O-552203049979209,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/12/18,7:06 PM,45.5,0,2,2.73,5.02,55.25,-5.94,-1.99,0
O-942702962269313,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/5/18,6:31 PM,20.3,0,2,1.22,4.7,28.22,-2.79,-1.16,0
O-414003209170660,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/29/18,6:42 PM,28.15,0,2,1.69,3.5,35.34,-3.77,-1.38,0
O-047103146612686,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/23/18,6:02 PM,28.2,0,2,1.69,6.38,38.27,-3.78,-1.47,0
O-932003238158681,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/31/18,8:02 PM,18.05,0,2,1.08,5.28,26.41,-2.51,-1.11,0
O-942703122290899,Oriental Express - Centreville Crest Ln,,This additional charge is a tip added to order by customer.,1/21/18,1:10 PM,0,0,0,0,0,1,0,0,0
O-908103164987045,Oriental Express - Centreville Crest Ln,,,1/25/18,5:21 PM,21.3,0,2,1.28,4.92,29.5,-2.91,-1.2,0
O-058203135985729,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/22/18,6:25 PM,41.7,0,2,2.5,9.24,55.44,-5.46,-1.99,0
O-093003052962545,Oriental Express - Centreville Crest Ln,Prepaid Order,,1/14/18,6:55 PM,17.7,0,2,1.06,5.19,25.95,-2.46,-1.09,0
