"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-799509873870691","Oriental Express - Centreville Crest Ln","Prepaid Order",,"11/27/19","12:34 PM","15.80","0","2.00","0.95","2.81","21.56","-2.67","-0.96","0"
"O-372709731564950","Oriental Express - Centreville Crest Ln","Prepaid Order",,"11/13/19","7:29 PM","42.15","0","2.00","2.53","9.34","56.02","-6.62","-2.01","0"
"O-380709624199094","Oriental Express - Centreville Crest Ln","Prepaid Order",,"11/2/19","7:16 PM","16.10","0","2.00","0.97","2.86","21.93","-2.72","-0.97","0"
"O-247409856916075","Oriental Express - Centreville Crest Ln","Prepaid Order",,"11/25/19","7:31 PM","30.95","0","2.00","1.86","5.00","39.81","-4.94","-1.51","0"
"O-206409836699684","Oriental Express - Centreville Crest Ln","Prepaid Order",,"11/23/19","5:22 PM","15.20","0","2.00","0.91","2.72","20.83","-2.58","-0.94","0"
"O-231909770897420","Oriental Express - Centreville Crest Ln","Cash Order",,"11/17/19","4:36 PM","36.10","0","2.00","2.17","0","40.27","-5.72","0","0"
"O-637809699742381","Oriental Express - Centreville Crest Ln","Prepaid Order",,"11/9/19","1:36 PM","22.25","0","2.00","1.34","3.84","29.43","-3.64","-1.20","0"
"O-965509837270397","Oriental Express - Centreville Crest Ln","Prepaid Order",,"11/22/19","9:14 PM","38.85","0","2.00","2.33","6.50","49.68","-6.13","-1.82","0"
"O-671409879548267","Oriental Express - Centreville Crest Ln","Prepaid Order",,"11/27/19","12:14 PM","16.90","0","2.00","1.01","3.98","23.89","-2.84","-1.03","0"
"O-752209684194031","Oriental Express - Centreville Crest Ln","Cash Order",,"11/8/19","5:54 PM","35.00","0","2.00","2.10","0","39.10","-5.55","0","0"
"O-646309839480299","Oriental Express - Centreville Crest Ln","Prepaid Order",,"11/23/19","7:42 PM","18.75","0","2.00","1.13","3.28","25.16","-3.11","-1.07","0"
